,Date,Peak Generation (MW),Lowest Generation (MW),Energy Recorded(Mwh),Generation at 6:00hrs (MW),Highest System Frequency (Hz),Lowest System Frequency (Hz),Highest Voltage Recorded (kV),Lowest Voltage Recorded (kV)
140,2020-06-04,5173.4,3370.3,99628.03,3544.3,50.55,49.86,350.0,290.0
141,2020-06-05,4990.4,3404.1,100426.25,3467.0,50.53,49.13,358.0,280.0
142,2020-06-06,4303.5,3144.7,92474.92,3826.1,50.59,49.97,351.0,300.0
143,2020-06-07,4463.5,2595.9,85968.49,2838.2,50.98,49.64,357.0,300.0
144,2020-06-08,4425.5,3387.7,98637.31,3579.3,50.53,49.54,350.0,300.0
145,2020-06-09,4500.1,2300.5,83497.81,2486.7,51.3,49.33,358.0,300.0
146,2020-06-10,4727.0,3508.1,98576.26,3666.0,50.44,49.66,352.0,300.0
147,2020-06-11,4700.2,3067.9,92915.86,3157.7,50.98,49.91,354.0,300.0
148,2020-06-12,4903.1,3034.9,91900.77,3175.8,50.66,49.66,354.0,300.0
149,2020-06-13,4416.0,3381.2,94629.04,3585.6,50.68,50.04,354.0,305.0
150,2020-06-14,4667.0,2780.7,84302.05,2943.4,50.98,49.79,355.0,300.0
151,2020-06-15,4750.2,2792.8,91834.14,2792.8,50.95,49.9,355.0,295.0
152,2020-06-16,5087.0,3241.1,97189.58,3325.6,50.61,49.61,353.0,290.0
153,2020-06-17,4817.4,3372.5,95565.49,3718.3,50.65,49.87,352.0,300.0
154,2020-06-18,4654.9,2835.1,83099.75,2931.1,51.12,50.05,355.0,300.0
155,2020-06-19,4656.2,2858.7,87068.57,3016.7,51.22,50.1,354.0,300.0
156,2020-06-20,3757.2,2260.7,77609.94,2983.8,51.33,49.03,360.0,290.0
157,2020-06-21,4479.0,2603.2,82285.58,2821.7,51.24,50.07,358.0,300.0
158,2020-06-22,4371.2,2628.1,82096.4,2985.9,51.26,50.02,355.0,300.0
159,2020-06-23,4693.6,2642.8,88042.19,3050.7,51.66,49.7,354.0,300.0
160,2020-06-24,4527.3,2910.6,90837.26,3133.8,50.67,49.78,352.0,300.0
161,2020-06-25,4918.6,2777.3,92221.35,3291.0,50.86,49.7,354.0,300.0
162,2020-06-26,4042.7,3239.4,89262.17,3515.2,50.54,49.89,353.0,300.0
163,2020-06-27,4838.0,2843.4,87835.84,2956.0,50.89,49.74,358.0,290.0
